date,match_date,home,away,outcome,odds,edge_pct,stake,result,pnl,logged_at
2026-06-11,2026-06-11,Mexico,South Africa,Draw,4.0,10.7,10.0,L,-10.0,2026-06-11T00:00:00
2026-06-11,2026-06-11,Mexico,South Africa,South Africa,8.0,49.3,10.0,L,-10.0,2026-06-11T00:00:00
2026-06-11,2026-06-12,South Korea,Czech Republic,South Korea,2.62,6.0,10.0,W,16.2,2026-06-11T00:00:00
2026-06-12,2026-06-12,Canada,Bosnia & Herzegovina,Draw,3.3,8.2,10.0,W,23.0,2026-06-12T00:00:00
2026-06-12,2026-06-13,Qatar,Switzerland,Qatar,13.0,6.8,10.0,,,2026-06-12T22:33:27
2026-06-12,2026-06-13,Brazil,Morocco,Draw,4.0,11.7,10.0,,,2026-06-12T22:33:27
2026-06-12,2026-06-13,Brazil,Morocco,Morocco,5.0,9.6,10.0,,,2026-06-12T22:33:27
2026-06-12,2026-06-13,Haiti,Scotland,Haiti,6.0,41.8,10.0,,,2026-06-12T22:33:27
2026-06-12,2026-06-13,Haiti,Scotland,Draw,4.2,10.7,10.0,,,2026-06-12T22:33:27
2026-06-12,2026-06-14,Australia,Turkey,Australia,4.75,66.7,10.0,,,2026-06-12T22:33:27
2026-06-12,2026-06-14,Netherlands,Japan,Japan,3.75,13.7,10.0,,,2026-06-12T22:33:27
2026-06-12,2026-06-14,Sweden,Tunisia,Tunisia,4.2,35.2,10.0,,,2026-06-12T22:33:27
